Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2020,07,13,5503.16,5324.85,5246.06,5176.37,5044.28,5028.26,4970.45,4982.42,5016.52,5095.07,5171.8,5361.76,5582.29,5990.04,6341.61,6692.77,6864.63,6758.49,6601.07,6383.76,6253.82,5937.22,5548.02,5360.07,5146.24,5169.21,5241.63,5194.21,5198.36,5311.68,5507.45,5670.81,5995.06,6309.47,6687.61,7089.69,7456.82,7573.13,7604.85,7448.16,7379,7248.35,7061.21,6885.49,6634.48,6500.96,6321.81,6053.71
2020,07,14,5769.61,5574.5,5431.79,5306.46,5225.62,5200.73,5159.16,5200.22,5234.52,5273.41,5432.52,5695.69,6018.04,6549.02,7020.59,7342.16,7248.07,6900.87,6466.38,6106.46,5755.96,5478.04,5309.69,5178.01,5067.6,5008.83,5020.74,5062.44,5169.18,5293.72,5470.73,5714.13,6070.66,6470.53,6987.84,7482.14,7868.99,8066.68,8148.44,7986.91,7872.72,7723.33,7508.38,7292.43,7009.59,6772.41,6533.28,6237.78
2020,07,15,5972.09,5757.23,5590.01,5473.17,5387.56,5340.09,5299.71,5261.66,5306.75,5377.21,5503.5,5779.68,6075.91,6599.83,7072.7,7297,7267.57,6860.24,6393.56,6050.05,5626.91,5368.77,5146.19,4971.73,4878.03,4818.09,4790.43,4815.39,4923.23,5098.57,5285.4,5458.93,5772.93,6249.73,6670.54,7076.54,7467.01,7565.66,7608.14,7527.28,7439.61,7378.35,7187.06,6973.9,6693.33,6506.73,6282.28,6024.9
2020,07,16,5783.94,5617.39,5467.63,5316.3,5225.05,5190.75,5121.46,5154.24,5167.97,5257.07,5405.54,5635.22,5965.86,6466.01,6881.55,7264.31,7145.07,6765.56,6269.16,5885.02,5528.05,5245.42,5012.56,4870.79,4727.5,4696.44,4688.51,4748.01,4815.89,5010.43,5213.27,5449.91,5804.04,6147.32,6609.21,6971.25,7365.66,7508.2,7605.85,7514.16,7467.93,7367.48,7204.87,6979.75,6714.1,6542.39,6334.21,6046.26
2020,07,17,5816.93,5624.19,5491.32,5365.84,5290.51,5239.49,5206.04,5215.31,5241.32,5338.49,5494.49,5759.32,6013.18,6484.99,6929.37,7314.68,7189.61,6798.3,6400.39,5921.13,5610.54,5331.97,5099.61,4963.8,4836.56,4768.34,4731.37,4779.76,4901.99,5046.74,5239.22,5460.96,5793.19,6118.63,6523.67,6821.71,7112.36,7176.4,7215.99,7142.22,7095.61,7019.65,6879.76,6708.49,6600.8,6476.51,6329.03,6104.18
2020,07,18,5844.71,5657.85,5532.52,5429.49,5330.37,5274.21,5241.53,5216.13,5220.48,5253.53,5323.31,5411.19,5515.26,5743.02,5931.21,6137.82,6133.69,6001.06,5758.65,5458.2,5174.3,4905.94,4653.59,4481.53,4363.63,4315.25,4317.85,4399.72,4480.33,4638.65,4840.2,5092.65,5386.86,5734.81,6135.58,6505.06,6768.44,6825.77,6877.97,6764.09,6702.84,6670.42,6517.28,6407.87,6293.38,6230.14,6127.79,5898.7
2020,07,19,5669.14,5525.3,5331.33,5226.75,5177.03,5126.64,5078.08,5070.52,5045.85,5047.1,5112.9,5248.95,5283.89,5451.88,5575.95,5753.78,5721.89,5589.44,5409.46,5185.14,4970.28,4738.16,4494.79,4378.93,4280.68,4216.62,4226.36,4252.07,4391.87,4513.13,4786.31,5041.28,5360.36,5666.6,6123.79,6530.75,6809.44,6958.48,6981.71,6822.06,6772.73,6698.49,6502.11,6307.27,6178.85,6040.69,5888.57,5691.85
2020,07,20,5484.71,5325.98,5227.8,5111.4,5050.16,5005.59,4988.07,4997.87,5040.32,5120.27,5253.43,5512.18,5809.93,6334.17,6734.25,7078.54,6982.65,6533.51,6104.01,5818.7,5527.15,5245.03,5029.55,4892.38,4816.72,4761.91,4796.4,4843.44,4969.8,5128.4,5330.88,5508.27,5864.05,6198.44,6624.63,7007.03,7334.6,7414.22,7403.63,7269.82,7218.16,7065.76,6866.34,6646.86,6447.51,6316.06,6107.28,5900.53
2020,07,21,5693.05,5483.79,5293.66,5208.3,5173.01,5111.53,5102.2,5087.73,5086.15,5156.37,5241.68,5509.56,5794.55,6221.65,6624.3,6948.08,6978.72,6768.6,6559.13,6314.45,6004.09,5711.25,5403.92,5211.58,5198.92,5275.32,5346.35,5494.88,5537.56,5644.65,5854.02,5997.46,6259.77,6490.97,6859.01,7185.99,7463.6,7519.46,7562.78,7386.35,7335.95,7198.02,7008,6764.68,6494.05,6292.14,6144.63,5909.11
2020,07,22,5673.91,5481.87,5296.36,5215.4,5156.48,5111.83,5070.66,5046.42,5073.27,5117.87,5277.08,5495.39,5729.16,6170.63,6541.68,6879.49,6989.15,6939.62,6823.65,6740.87,6692.8,6670.04,6583.41,6428.25,6327.49,6327.3,6379.38,6383.99,6350.69,6416.77,6436.3,6467.63,6673.85,6891.43,7143.24,7458.43,7749.64,7787.49,7751.5,7617.65,7517.08,7369.23,7127.44,6892.83,6629.4,6347.63,6183.91,5931.77
2020,07,23,5695.94,5531.94,5393.8,5245.83,5176.64,5084.82,5069.55,5128.47,5153.93,5185.83,5294.23,5532.24,5785.32,6204,6614.17,7028.2,7087.21,7048.78,6975.39,6853.45,6721.16,6616.07,6565.88,6428.08,6359.97,6377.66,6319.44,6315.83,6336.69,6464.94,6573.27,6639.38,6824.91,7027.11,7284.78,7510.52,7753.89,7810.51,7819.47,7668.87,7571.62,7438.69,7270.41,7027.18,6754.68,6575.52,6362.95,6074.09
2020,07,24,5828.63,5729.31,5549.48,5426.27,5311.35,5260.79,5226.85,5227.92,5218.04,5309.42,5414.33,5650.25,5869.15,6266.95,6648.07,7023.8,7093.1,6953.43,6695.86,6505.12,6253.78,6111.94,6051.84,5909.86,5794.33,5806.43,5774.36,5851.79,5877.18,5890.99,5907.81,6049.03,6301.19,6550.2,6867.38,7110.99,7295.86,7343.54,7428.52,7319.22,7235.11,7114.94,6889.13,6733.28,6579.67,6446.94,6324.64,6092.55
2020,07,25,5849.77,5712.84,5561.76,5425.3,5287.21,5217.94,5194.63,5173.63,5152.46,5191.99,5225.54,5335.57,5379.87,5556.66,5717.55,5948.25,5989.38,6091.03,6116.99,6188.45,6201.26,6158.61,6087.46,5964.85,5937.44,5810.66,5667.52,5592.03,5612.7,5632.79,5825.37,6036.77,6139.56,6324.72,6624.79,6835.86,7007.11,7062.48,7011.13,6846.82,6818.85,6687.03,6512.95,6427.13,6300.71,6185.12,6100.95,5931.23
2020,07,26,5700.77,5558.35,5421.6,5292.71,5197.86,5162.84,5098.88,5071.69,5071.53,5068.17,5096.17,5133.41,5185.58,5273.51,5380.28,5569.07,5602.09,5738.42,5796.56,5753.38,5568.86,5378.39,5319.1,5256.71,5171.52,5042.43,4970.24,4881.46,4927.21,4969.97,5139.12,5461.96,5836.96,6199.33,6552.3,6826.89,7019.02,7084.56,7129.13,7001.89,6863.99,6800.41,6634.15,6481.55,6291.19,6172.9,6031.76,5801.8
